"away","home","date","as","hs","season","hsym","asym","guid","lk"
"Boston Celtics","Miami Heat",2012-10-30,107,120,2013,"MIA","BOS","MIABOS20121030","201210300MIA"
"Dallas Mavericks","Los Angeles Lakers",2012-10-30,99,91,2013,"LAL","DAL","LALDAL20121030","201210300LAL"
"Washington Wizards","Cleveland Cavaliers",2012-10-30,84,94,2013,"CLE","WAS","CLEWAS20121030","201210300CLE"
"Dallas Mavericks","Utah Jazz",2012-10-31,94,113,2013,"UTA","DAL","UTADAL20121031","201210310UTA"
"Denver Nuggets","Philadelphia 76ers",2012-10-31,75,84,2013,"PHI","DEN","PHIDEN20121031","201210310PHI"
"Golden State Warriors","Phoenix Suns",2012-10-31,87,85,2013,"PHO","GSW","PHOGSW20121031","201210310PHO"
"Houston Rockets","Detroit Pistons",2012-10-31,105,96,2013,"DET","HOU","DETHOU20121031","201210310DET"
"Indiana Pacers","Toronto Raptors",2012-10-31,90,88,2013,"TOR","IND","TORIND20121031","201210310TOR"
"Los Angeles Lakers","Portland Trail Blazers",2012-10-31,106,116,2013,"POR","LAL","PORLAL20121031","201210310POR"
"Memphis Grizzlies","Los Angeles Clippers",2012-10-31,92,101,2013,"LAC","MEM","LACMEM20121031","201210310LAC"
"Sacramento Kings","Chicago Bulls",2012-10-31,87,93,2013,"CHI","SAC","CHISAC20121031","201210310CHI"
"San Antonio Spurs","New Orleans Hornets",2012-10-31,99,95,2013,"NOH","SAS","NOHSAS20121031","201210310NOH"
"Oklahoma City Thunder","San Antonio Spurs",2012-11-01,84,86,2013,"SAS","OKC","SASOKC20121101","201211010SAS"
"Chicago Bulls","Cleveland Cavaliers",2012-11-02,115,86,2013,"CLE","CHI","CLECHI20121102","201211020CLE"
"Denver Nuggets","Orlando Magic",2012-11-02,89,102,2013,"ORL","DEN","ORLDEN20121102","201211020ORL"
"Detroit Pistons","Phoenix Suns",2012-11-02,89,92,2013,"PHO","DET","PHODET20121102","201211020PHO"
"Houston Rockets","Atlanta Hawks",2012-11-02,109,102,2013,"ATL","HOU","ATLHOU20121102","201211020ATL"
"Indiana Pacers","Charlotte Bobcats",2012-11-02,89,90,2013,"CHA","IND","CHAIND20121102","201211020CHA"
"Los Angeles Clippers","Los Angeles Lakers",2012-11-02,105,95,2013,"LAL","LAC","LALLAC20121102","201211020LAL"
"Memphis Grizzlies","Golden State Warriors",2012-11-02,104,94,2013,"GSW","MEM","GSWMEM20121102","201211020GSW"
"Miami Heat","New York Knicks",2012-11-02,84,104,2013,"NYK","MIA","NYKMIA20121102","201211020NYK"
"Milwaukee Bucks","Boston Celtics",2012-11-02,99,88,2013,"BOS","MIL","BOSMIL20121102","201211020BOS"
"Portland Trail Blazers","Oklahoma City Thunder",2012-11-02,92,106,2013,"OKC","POR","OKCPOR20121102","201211020OKC"
"Sacramento Kings","Minnesota Timberwolves",2012-11-02,80,92,2013,"MIN","SAC","MINSAC20121102","201211020MIN"
"Utah Jazz","New Orleans Hornets",2012-11-02,86,88,2013,"NOH","UTA","NOHUTA20121102","201211020NOH"
"Boston Celtics","Washington Wizards",2012-11-03,89,86,2013,"WAS","BOS","WASBOS20121103","201211030WAS"
"Charlotte Bobcats","Dallas Mavericks",2012-11-03,99,126,2013,"DAL","CHA","DALCHA20121103","201211030DAL"
"Cleveland Cavaliers","Milwaukee Bucks",2012-11-03,102,105,2013,"MIL","CLE","MILCLE20121103","201211030MIL"
"Denver Nuggets","Miami Heat",2012-11-03,116,119,2013,"MIA","DEN","MIADEN20121103","201211030MIA"
"Golden State Warriors","Los Angeles Clippers",2012-11-03,114,110,2013,"LAC","GSW","LACGSW20121103","201211030LAC"
"New Orleans Hornets","Chicago Bulls",2012-11-03,89,82,2013,"CHI","NOH","CHINOH20121103","201211030CHI"
"Portland Trail Blazers","Houston Rockets",2012-11-03,95,85,2013,"HOU","POR","HOUPOR20121103","201211030HOU"
"Sacramento Kings","Indiana Pacers",2012-11-03,98,106,2013,"IND","SAC","INDSAC20121103","201211030IND"
"Toronto Raptors","Brooklyn Nets",2012-11-03,100,107,2013,"BRK","TOR","BRKTOR20121103","201211030BRK"
"Utah Jazz","San Antonio Spurs",2012-11-03,100,110,2013,"SAS","UTA","SASUTA20121103","201211030SAS"
"Atlanta Hawks","Oklahoma City Thunder",2012-11-04,104,95,2013,"OKC","ATL","OKCATL20121104","201211040OKC"
"Detroit Pistons","Los Angeles Lakers",2012-11-04,79,108,2013,"LAL","DET","LALDET20121104","201211040LAL"
"Minnesota Timberwolves","Toronto Raptors",2012-11-04,86,105,2013,"TOR","MIN","TORMIN20121104","201211040TOR"
"Philadelphia 76ers","New York Knicks",2012-11-04,84,100,2013,"NYK","PHI","NYKPHI20121104","201211040NYK"
"Phoenix Suns","Orlando Magic",2012-11-04,94,115,2013,"ORL","PHO","ORLPHO20121104","201211040ORL"
"Cleveland Cavaliers","Los Angeles Clippers",2012-11-05,108,101,2013,"LAC","CLE","LACCLE20121105","201211050LAC"
"Golden State Warriors","Sacramento Kings",2012-11-05,92,94,2013,"SAC","GSW","SACGSW20121105","201211050SAC"
"Indiana Pacers","San Antonio Spurs",2012-11-05,79,101,2013,"SAS","IND","SASIND20121105","201211050SAS"
"Minnesota Timberwolves","Brooklyn Nets",2012-11-05,107,96,2013,"BRK","MIN","BRKMIN20121105","201211050BRK"
"New York Knicks","Philadelphia 76ers",2012-11-05,110,88,2013,"PHI","NYK","PHINYK20121105","201211050PHI"
"Phoenix Suns","Miami Heat",2012-11-05,99,124,2013,"MIA","PHO","MIAPHO20121105","201211050MIA"
"Portland Trail Blazers","Dallas Mavericks",2012-11-05,91,114,2013,"DAL","POR","DALPOR20121105","201211050DAL"
"Utah Jazz","Memphis Grizzlies",2012-11-05,94,103,2013,"MEM","UTA","MEMUTA20121105","201211050MEM"
"Detroit Pistons","Denver Nuggets",2012-11-06,97,109,2013,"DEN","DET","DENDET20121106","201211060DEN"
"Orlando Magic","Chicago Bulls",2012-11-06,93,99,2013,"CHI","ORL","CHIORL20121106","201211060CHI"
"Toronto Raptors","Oklahoma City Thunder",2012-11-06,88,108,2013,"OKC","TOR","OKCTOR20121106","201211060OKC"
"Brooklyn Nets","Miami Heat",2012-11-07,73,103,2013,"MIA","BRK","MIABRK20121107","201211070MIA"
"Cleveland Cavaliers","Golden State Warriors",2012-11-07,96,106,2013,"GSW","CLE","GSWCLE20121107","201211070GSW"
"Denver Nuggets","Houston Rockets",2012-11-07,93,87,2013,"HOU","DEN","HOUDEN20121107","201211070HOU"
"Detroit Pistons","Sacramento Kings",2012-11-07,103,105,2013,"SAC","DET","SACDET20121107","201211070SAC"
"Indiana Pacers","Atlanta Hawks",2012-11-07,86,89,2013,"ATL","IND","ATLIND20121107","201211070ATL"
"Los Angeles Lakers","Utah Jazz",2012-11-07,86,95,2013,"UTA","LAL","UTALAL20121107","201211070UTA"
"Memphis Grizzlies","Milwaukee Bucks",2012-11-07,108,90,2013,"MIL","MEM","MILMEM20121107","201211070MIL"
"Orlando Magic","Minnesota Timberwolves",2012-11-07,75,90,2013,"MIN","ORL","MINORL20121107","201211070MIN"
"Philadelphia 76ers","New Orleans Hornets",2012-11-07,77,62,2013,"NOH","PHI","NOHPHI20121107","201211070NOH"
"Phoenix Suns","Charlotte Bobcats",2012-11-07,117,110,2013,"CHA","PHO","CHAPHO20121107","201211070CHA"
"San Antonio Spurs","Los Angeles Clippers",2012-11-07,84,106,2013,"LAC","SAS","LACSAS20121107","201211070LAC"
"Toronto Raptors","Dallas Mavericks",2012-11-07,104,109,2013,"DAL","TOR","DALTOR20121107","201211070DAL"
"Washington Wizards","Boston Celtics",2012-11-07,94,100,2013,"BOS","WAS","BOSWAS20121107","201211070BOS"
"Los Angeles Clippers","Portland Trail Blazers",2012-11-08,103,90,2013,"POR","LAC","PORLAC20121108","201211080POR"
"Oklahoma City Thunder","Chicago Bulls",2012-11-08,97,91,2013,"CHI","OKC","CHIOKC20121108","201211080CHI"
"Brooklyn Nets","Orlando Magic",2012-11-09,107,68,2013,"ORL","BRK","ORLBRK20121109","201211090ORL"
"Charlotte Bobcats","New Orleans Hornets",2012-11-09,99,107,2013,"NOH","CHA","NOHCHA20121109","201211090NOH"
"Cleveland Cavaliers","Phoenix Suns",2012-11-09,105,107,2013,"PHO","CLE","PHOCLE20121109","201211090PHO"
"Dallas Mavericks","New York Knicks",2012-11-09,94,104,2013,"NYK","DAL","NYKDAL20121109","201211090NYK"
"Detroit Pistons","Oklahoma City Thunder",2012-11-09,94,105,2013,"OKC","DET","OKCDET20121109","201211090OKC"
"Golden State Warriors","Los Angeles Lakers",2012-11-09,77,101,2013,"LAL","GSW","LALGSW20121109","201211090LAL"
"Houston Rockets","Memphis Grizzlies",2012-11-09,85,93,2013,"MEM","HOU","MEMHOU20121109","201211090MEM"
"Indiana Pacers","Minnesota Timberwolves",2012-11-09,94,96,2013,"MIN","IND","MININD20121109","201211090MIN"
"Miami Heat","Atlanta Hawks",2012-11-09,95,89,2013,"ATL","MIA","ATLMIA20121109","201211090ATL"
"Milwaukee Bucks","Washington Wizards",2012-11-09,101,91,2013,"WAS","MIL","WASMIL20121109","201211090WAS"
"Philadelphia 76ers","Boston Celtics",2012-11-09,106,100,2013,"BOS","PHI","BOSPHI20121109","201211090BOS"
"San Antonio Spurs","Sacramento Kings",2012-11-09,97,86,2013,"SAC","SAS","SACSAS20121109","201211090SAC"
"Utah Jazz","Denver Nuggets",2012-11-09,84,104,2013,"DEN","UTA","DENUTA20121109","201211090DEN"
"Boston Celtics","Milwaukee Bucks",2012-11-10,96,92,2013,"MIL","BOS","MILBOS20121110","201211100MIL"
"Dallas Mavericks","Charlotte Bobcats",2012-11-10,97,101,2013,"CHA","DAL","CHADAL20121110","201211100CHA"
"Denver Nuggets","Golden State Warriors",2012-11-10,107,101,2013,"GSW","DEN","GSWDEN20121110","201211100GSW"
"Detroit Pistons","Houston Rockets",2012-11-10,82,96,2013,"HOU","DET","HOUDET20121110","201211100HOU"
"Minnesota Timberwolves","Chicago Bulls",2012-11-10,80,87,2013,"CHI","MIN","CHIMIN20121110","201211100CHI"
"Philadelphia 76ers","Toronto Raptors",2012-11-10,93,83,2013,"TOR","PHI","TORPHI20121110","201211100TOR"
"Phoenix Suns","Utah Jazz",2012-11-10,81,94,2013,"UTA","PHO","UTAPHO20121110","201211100UTA"
"San Antonio Spurs","Portland Trail Blazers",2012-11-10,112,109,2013,"POR","SAS","PORSAS20121110","201211100POR"
"Washington Wizards","Indiana Pacers",2012-11-10,85,89,2013,"IND","WAS","INDWAS20121110","201211100IND"
"Atlanta Hawks","Los Angeles Clippers",2012-11-11,76,89,2013,"LAC","ATL","LACATL20121111","201211110LAC"
"Cleveland Cavaliers","Oklahoma City Thunder",2012-11-11,91,106,2013,"OKC","CLE","OKCCLE20121111","201211110OKC"
"Miami Heat","Memphis Grizzlies",2012-11-11,86,104,2013,"MEM","MIA","MEMMIA20121111","201211110MEM"
"Orlando Magic","Brooklyn Nets",2012-11-11,74,82,2013,"BRK","ORL","BRKORL20121111","201211110BRK"
"Sacramento Kings","Los Angeles Lakers",2012-11-11,90,103,2013,"LAL","SAC","LALSAC20121111","201211110LAL"
"Atlanta Hawks","Portland Trail Blazers",2012-11-12,95,87,2013,"POR","ATL","PORATL20121112","201211120POR"
"Boston Celtics","Chicago Bulls",2012-11-12,101,95,2013,"CHI","BOS","CHIBOS20121112","201211120CHI"
"Denver Nuggets","Phoenix Suns",2012-11-12,100,110,2013,"PHO","DEN","PHODEN20121112","201211120PHO"
"Miami Heat","Houston Rockets",2012-11-12,113,110,2013,"HOU","MIA","HOUMIA20121112","201211120HOU"
"Milwaukee Bucks","Philadelphia 76ers",2012-11-12,105,96,2013,"PHI","MIL","PHIMIL20121112","201211120PHI"
"Minnesota Timberwolves","Dallas Mavericks",2012-11-12,90,82,2013,"DAL","MIN","DALMIN20121112","201211120DAL"
"Oklahoma City Thunder","Detroit Pistons",2012-11-12,92,90,2013,"DET","OKC","DETOKC20121112","201211120DET"
"Utah Jazz","Toronto Raptors",2012-11-12,140,133,2013,"TOR","UTA","TORUTA20121112","201211120TOR"
"Cleveland Cavaliers","Brooklyn Nets",2012-11-13,101,114,2013,"BRK","CLE","BRKCLE20121113","201211130BRK"
"New York Knicks","Orlando Magic",2012-11-13,99,89,2013,"ORL","NYK","ORLNYK20121113","201211130ORL"
"Portland Trail Blazers","Sacramento Kings",2012-11-13,103,86,2013,"SAC","POR","SACPOR20121113","201211130SAC"
"San Antonio Spurs","Los Angeles Lakers",2012-11-13,84,82,2013,"LAL","SAS","LALSAS20121113","201211130LAL"
"Toronto Raptors","Indiana Pacers",2012-11-13,74,72,2013,"IND","TOR","INDTOR20121113","201211130IND"
"Washington Wizards","Charlotte Bobcats",2012-11-13,76,92,2013,"CHA","WAS","CHAWAS20121113","201211130CHA"
"Atlanta Hawks","Golden State Warriors",2012-11-14,88,92,2013,"GSW","ATL","GSWATL20121114","201211140GSW"
"Charlotte Bobcats","Minnesota Timberwolves",2012-11-14,89,87,2013,"MIN","CHA","MINCHA20121114","201211140MIN"
"Chicago Bulls","Phoenix Suns",2012-11-14,112,106,2013,"PHO","CHI","PHOCHI20121114","201211140PHO"
"Detroit Pistons","Philadelphia 76ers",2012-11-14,94,76,2013,"PHI","DET","PHIDET20121114","201211140PHI"
"Indiana Pacers","Milwaukee Bucks",2012-11-14,85,99,2013,"MIL","IND","MILIND20121114","201211140MIL"
"Memphis Grizzlies","Oklahoma City Thunder",2012-11-14,107,97,2013,"OKC","MEM","OKCMEM20121114","201211140OKC"
"Miami Heat","Los Angeles Clippers",2012-11-14,100,107,2013,"LAC","MIA","LACMIA20121114","201211140LAC"
"New Orleans Hornets","Houston Rockets",2012-11-14,96,100,2013,"HOU","NOH","HOUNOH20121114","201211140HOU"
"Utah Jazz","Boston Celtics",2012-11-14,93,98,2013,"BOS","UTA","BOSUTA20121114","201211140BOS"
"Washington Wizards","Dallas Mavericks",2012-11-14,101,107,2013,"DAL","WAS","DALWAS20121114","201211140DAL"
"Boston Celtics","Brooklyn Nets",2012-11-15,97,102,2013,"BRK","BOS","BRKBOS20121115","201211150BRK"
"Miami Heat","Denver Nuggets",2012-11-15,98,93,2013,"DEN","MIA","DENMIA20121115","201211150DEN"
"New York Knicks","San Antonio Spurs",2012-11-15,104,100,2013,"SAS","NYK","SASNYK20121115","201211150SAS"
"Atlanta Hawks","Sacramento Kings",2012-11-16,112,96,2013,"SAC","ATL","SACATL20121116","201211160SAC"
"Dallas Mavericks","Indiana Pacers",2012-11-16,83,103,2013,"IND","DAL","INDDAL20121116","201211160IND"
"Golden State Warriors","Minnesota Timberwolves",2012-11-16,106,98,2013,"MIN","GSW","MINGSW20121116","201211160MIN"
"Houston Rockets","Portland Trail Blazers",2012-11-16,117,119,2013,"POR","HOU","PORHOU20121116","201211160POR"
"New York Knicks","Memphis Grizzlies",2012-11-16,95,105,2013,"MEM","NYK","MEMNYK20121116","201211160MEM"
"Oklahoma City Thunder","New Orleans Hornets",2012-11-16,110,95,2013,"NOH","OKC","NOHOKC20121116","201211160NOH"
"Orlando Magic","Detroit Pistons",2012-11-16,110,106,2013,"DET","ORL","DETORL20121116","201211160DET"
"Phoenix Suns","Los Angeles Lakers",2012-11-16,102,114,2013,"LAL","PHO","LALPHO20121116","201211160LAL"
"Utah Jazz","Philadelphia 76ers",2012-11-16,93,99,2013,"PHI","UTA","PHIUTA20121116","201211160PHI"
"Chicago Bulls","Los Angeles Clippers",2012-11-17,80,101,2013,"LAC","CHI","LACCHI20121117","201211170LAC"
"Dallas Mavericks","Cleveland Cavaliers",2012-11-17,103,95,2013,"CLE","DAL","CLEDAL20121117","201211170CLE"
"Denver Nuggets","San Antonio Spurs",2012-11-17,100,126,2013,"SAS","DEN","SASDEN20121117","201211170SAS"
"Memphis Grizzlies","Charlotte Bobcats",2012-11-17,94,87,2013,"CHA","MEM","CHAMEM20121117","201211170CHA"
"Miami Heat","Phoenix Suns",2012-11-17,97,88,2013,"PHO","MIA","PHOMIA20121117","201211170PHO"
"New Orleans Hornets","Milwaukee Bucks",2012-11-17,113,117,2013,"MIL","NOH","MILNOH20121117","201211170MIL"
"Toronto Raptors","Boston Celtics",2012-11-17,89,107,2013,"BOS","TOR","BOSTOR20121117","201211170BOS"
"Utah Jazz","Washington Wizards",2012-11-17,83,76,2013,"WAS","UTA","WASUTA20121117","201211170WAS"
"Boston Celtics","Detroit Pistons",2012-11-18,83,103,2013,"DET","BOS","DETBOS20121118","201211180DET"
"Brooklyn Nets","Sacramento Kings",2012-11-18,99,90,2013,"SAC","BRK","SACBRK20121118","201211180SAC"
"Chicago Bulls","Portland Trail Blazers",2012-11-18,94,102,2013,"POR","CHI","PORCHI20121118","201211180POR"
"Cleveland Cavaliers","Philadelphia 76ers",2012-11-18,79,86,2013,"PHI","CLE","PHICLE20121118","201211180PHI"
"Golden State Warriors","Oklahoma City Thunder",2012-11-18,109,119,2013,"OKC","GSW","OKCGSW20121118","201211180OKC"
"Houston Rockets","Los Angeles Lakers",2012-11-18,108,119,2013,"LAL","HOU","LALHOU20121118","201211180LAL"
"Indiana Pacers","New York Knicks",2012-11-18,76,88,2013,"NYK","IND","NYKIND20121118","201211180NYK"
"Orlando Magic","Toronto Raptors",2012-11-18,86,97,2013,"TOR","ORL","TORORL20121118","201211180TOR"
"Denver Nuggets","Memphis Grizzlies",2012-11-19,97,92,2013,"MEM","DEN","MEMDEN20121119","201211190MEM"
"Golden State Warriors","Dallas Mavericks",2012-11-19,105,101,2013,"DAL","GSW","DALGSW20121119","201211190DAL"
"Houston Rockets","Utah Jazz",2012-11-19,91,102,2013,"UTA","HOU","UTAHOU20121119","201211190UTA"
"Indiana Pacers","Washington Wizards",2012-11-19,96,89,2013,"WAS","IND","WASIND20121119","201211190WAS"
"Los Angeles Clippers","San Antonio Spurs",2012-11-19,92,87,2013,"SAS","LAC","SASLAC20121119","201211190SAS"
"Milwaukee Bucks","Charlotte Bobcats",2012-11-19,98,102,2013,"CHA","MIL","CHAMIL20121119","201211190CHA"
"Orlando Magic","Atlanta Hawks",2012-11-19,72,81,2013,"ATL","ORL","ATLORL20121119","201211190ATL"
"Brooklyn Nets","Los Angeles Lakers",2012-11-20,90,95,2013,"LAL","BRK","LALBRK20121120","201211200LAL"
"New York Knicks","New Orleans Hornets",2012-11-20,102,80,2013,"NOH","NYK","NOHNYK20121120","201211200NOH"
"Toronto Raptors","Philadelphia 76ers",2012-11-20,98,106,2013,"PHI","TOR","PHITOR20121120","201211200PHI"
"Brooklyn Nets","Golden State Warriors",2012-11-21,93,102,2013,"GSW","BRK","GSWBRK20121121","201211210GSW"
"Chicago Bulls","Houston Rockets",2012-11-21,89,93,2013,"HOU","CHI","HOUCHI20121121","201211210HOU"
"Denver Nuggets","Minnesota Timberwolves",2012-11-21,101,94,2013,"MIN","DEN","MINDEN20121121","201211210MIN"
"Detroit Pistons","Orlando Magic",2012-11-21,74,90,2013,"ORL","DET","ORLDET20121121","201211210ORL"
"Los Angeles Clippers","Oklahoma City Thunder",2012-11-21,111,117,2013,"OKC","LAC","OKCLAC20121121","201211210OKC"
"Los Angeles Lakers","Sacramento Kings",2012-11-21,97,113,2013,"SAC","LAL","SACLAL20121121","201211210SAC"
"Milwaukee Bucks","Miami Heat",2012-11-21,106,113,2013,"MIA","MIL","MIAMIL20121121","201211210MIA"
"New Orleans Hornets","Indiana Pacers",2012-11-21,107,115,2013,"IND","NOH","INDNOH20121121","201211210IND"
"New York Knicks","Dallas Mavericks",2012-11-21,111,114,2013,"DAL","NYK","DALNYK20121121","201211210DAL"
"Philadelphia 76ers","Cleveland Cavaliers",2012-11-21,83,92,2013,"CLE","PHI","CLEPHI20121121","201211210CLE"
"Portland Trail Blazers","Phoenix Suns",2012-11-21,87,114,2013,"PHO","POR","PHOPOR20121121","201211210PHO"
"San Antonio Spurs","Boston Celtics",2012-11-21,112,100,2013,"BOS","SAS","BOSSAS20121121","201211210BOS"
"Toronto Raptors","Charlotte Bobcats",2012-11-21,97,98,2013,"CHA","TOR","CHATOR20121121","201211210CHA"
"Washington Wizards","Atlanta Hawks",2012-11-21,100,101,2013,"ATL","WAS","ATLWAS20121121","201211210ATL"
"Atlanta Hawks","Charlotte Bobcats",2012-11-23,101,91,2013,"CHA","ATL","CHAATL20121123","201211230CHA"
"Cleveland Cavaliers","Orlando Magic",2012-11-23,104,108,2013,"ORL","CLE","ORLCLE20121123","201211230ORL"
"Golden State Warriors","Denver Nuggets",2012-11-23,91,102,2013,"DEN","GSW","DENGSW20121123","201211230DEN"
"Los Angeles Clippers","Brooklyn Nets",2012-11-23,76,86,2013,"BRK","LAC","BRKLAC20121123","201211230BRK"
"Los Angeles Lakers","Memphis Grizzlies",2012-11-23,98,106,2013,"MEM","LAL","MEMLAL20121123","201211230MEM"
"Minnesota Timberwolves","Portland Trail Blazers",2012-11-23,95,103,2013,"POR","MIN","PORMIN20121123","201211230POR"
"New Orleans Hornets","Phoenix Suns",2012-11-23,108,111,2013,"PHO","NOH","PHONOH20121123","201211230PHO"
"New York Knicks","Houston Rockets",2012-11-23,103,131,2013,"HOU","NYK","HOUNYK20121123","201211230HOU"
"Oklahoma City Thunder","Boston Celtics",2012-11-23,100,108,2013,"BOS","OKC","BOSOKC20121123","201211230BOS"
"Sacramento Kings","Utah Jazz",2012-11-23,102,104,2013,"UTA","SAC","UTASAC20121123","201211230UTA"
"San Antonio Spurs","Indiana Pacers",2012-11-23,104,97,2013,"IND","SAS","INDSAS20121123","201211230IND"
"Toronto Raptors","Detroit Pistons",2012-11-23,90,91,2013,"DET","TOR","DETTOR20121123","201211230DET"
"Charlotte Bobcats","Washington Wizards",2012-11-24,108,106,2013,"WAS","CHA","WASCHA20121124","201211240WAS"
"Chicago Bulls","Milwaukee Bucks",2012-11-24,93,86,2013,"MIL","CHI","MILCHI20121124","201211240MIL"
"Cleveland Cavaliers","Miami Heat",2012-11-24,108,110,2013,"MIA","CLE","MIACLE20121124","201211240MIA"
"Los Angeles Clippers","Atlanta Hawks",2012-11-24,93,104,2013,"ATL","LAC","ATLLAC20121124","201211240ATL"
"Los Angeles Lakers","Dallas Mavericks",2012-11-24,115,89,2013,"DAL","LAL","DALLAL20121124","201211240DAL"
"Minnesota Timberwolves","Golden State Warriors",2012-11-24,85,96,2013,"GSW","MIN","GSWMIN20121124","201211240GSW"
"Oklahoma City Thunder","Philadelphia 76ers",2012-11-24,116,109,2013,"PHI","OKC","PHIOKC20121124","201211240PHI"
"Utah Jazz","Sacramento Kings",2012-11-24,97,108,2013,"SAC","UTA","SACUTA20121124","201211240SAC"
"Boston Celtics","Orlando Magic",2012-11-25,116,110,2013,"ORL","BOS","ORLBOS20121125","201211250ORL"
"Detroit Pistons","New York Knicks",2012-11-25,100,121,2013,"NYK","DET","NYKDET20121125","201211250NYK"
"New Orleans Hornets","Denver Nuggets",2012-11-25,84,102,2013,"DEN","NOH","DENNOH20121125","201211250DEN"
"Phoenix Suns","Philadelphia 76ers",2012-11-25,101,104,2013,"PHI","PHO","PHIPHO20121125","201211250PHI"
"Portland Trail Blazers","Brooklyn Nets",2012-11-25,85,98,2013,"BRK","POR","BRKPOR20121125","201211250BRK"
"San Antonio Spurs","Toronto Raptors",2012-11-25,111,106,2013,"TOR","SAS","TORSAS20121125","201211250TOR"
"Charlotte Bobcats","Oklahoma City Thunder",2012-11-26,69,114,2013,"OKC","CHA","OKCCHA20121126","201211260OKC"
"Cleveland Cavaliers","Memphis Grizzlies",2012-11-26,78,84,2013,"MEM","CLE","MEMCLE20121126","201211260MEM"
"Denver Nuggets","Utah Jazz",2012-11-26,103,105,2013,"UTA","DEN","UTADEN20121126","201211260UTA"
"Milwaukee Bucks","Chicago Bulls",2012-11-26,93,92,2013,"CHI","MIL","CHIMIL20121126","201211260CHI"
"New Orleans Hornets","Los Angeles Clippers",2012-11-26,105,98,2013,"LAC","NOH","LACNOH20121126","201211260LAC"
"New York Knicks","Brooklyn Nets",2012-11-26,89,96,2013,"BRK","NYK","BRKNYK20121126","201211260BRK"
"Portland Trail Blazers","Detroit Pistons",2012-11-26,101,108,2013,"DET","POR","DETPOR20121126","201211260DET"
"San Antonio Spurs","Washington Wizards",2012-11-26,118,92,2013,"WAS","SAS","WASSAS20121126","201211260WAS"
"Dallas Mavericks","Philadelphia 76ers",2012-11-27,98,100,2013,"PHI","DAL","PHIDAL20121127","201211270PHI"
"Indiana Pacers","Los Angeles Lakers",2012-11-27,79,77,2013,"LAL","IND","LALIND20121127","201211270LAL"
"Minnesota Timberwolves","Sacramento Kings",2012-11-27,97,89,2013,"SAC","MIN","SACMIN20121127","201211270SAC"
"Phoenix Suns","Cleveland Cavaliers",2012-11-27,91,78,2013,"CLE","PHO","CLEPHO20121127","201211270CLE"
"Toronto Raptors","Houston Rockets",2012-11-27,101,117,2013,"HOU","TOR","HOUTOR20121127","201211270HOU"
"Brooklyn Nets","Boston Celtics",2012-11-28,95,83,2013,"BOS","BRK","BOSBRK20121128","201211280BOS"
"Charlotte Bobcats","Atlanta Hawks",2012-11-28,91,94,2013,"ATL","CHA","ATLCHA20121128","201211280ATL"
"Dallas Mavericks","Chicago Bulls",2012-11-28,78,101,2013,"CHI","DAL","CHIDAL20121128","201211280CHI"
"Houston Rockets","Oklahoma City Thunder",2012-11-28,98,120,2013,"OKC","HOU","OKCHOU20121128","201211280OKC"
"Minnesota Timberwolves","Los Angeles Clippers",2012-11-28,95,101,2013,"LAC","MIN","LACMIN20121128","201211280LAC"
"New York Knicks","Milwaukee Bucks",2012-11-28,102,88,2013,"MIL","NYK","MILNYK20121128","201211280MIL"
"Phoenix Suns","Detroit Pistons",2012-11-28,77,117,2013,"DET","PHO","DETPHO20121128","201211280DET"
"Portland Trail Blazers","Washington Wizards",2012-11-28,82,84,2013,"WAS","POR","WASPOR20121128","201211280WAS"
"San Antonio Spurs","Orlando Magic",2012-11-28,110,89,2013,"ORL","SAS","ORLSAS20121128","201211280ORL"
"Toronto Raptors","Memphis Grizzlies",2012-11-28,82,103,2013,"MEM","TOR","MEMTOR20121128","201211280MEM"
"Utah Jazz","New Orleans Hornets",2012-11-28,96,84,2013,"NOH","UTA","NOHUTA20121128","201211280NOH"
"Denver Nuggets","Golden State Warriors",2012-11-29,105,106,2013,"GSW","DEN","GSWDEN20121129","201211290GSW"
"San Antonio Spurs","Miami Heat",2012-11-29,100,105,2013,"MIA","SAS","MIASAS20121129","201211290MIA"
"Brooklyn Nets","Orlando Magic",2012-11-30,98,86,2013,"ORL","BRK","ORLBRK20121130","201211300ORL"
"Cleveland Cavaliers","Atlanta Hawks",2012-11-30,113,111,2013,"ATL","CLE","ATLCLE20121130","201211300ATL"
"Denver Nuggets","Los Angeles Lakers",2012-11-30,103,122,2013,"LAL","DEN","LALDEN20121130","201211300LAL"
"Detroit Pistons","Memphis Grizzlies",2012-11-30,78,90,2013,"MEM","DET","MEMDET20121130","201211300MEM"
"Indiana Pacers","Sacramento Kings",2012-11-30,97,92,2013,"SAC","IND","SACIND20121130","201211300SAC"
"Milwaukee Bucks","Minnesota Timberwolves",2012-11-30,85,95,2013,"MIN","MIL","MINMIL20121130","201211300MIN"
"Philadelphia 76ers","Charlotte Bobcats",2012-11-30,104,98,2013,"CHA","PHI","CHAPHI20121130","201211300CHA"
"Phoenix Suns","Toronto Raptors",2012-11-30,97,101,2013,"TOR","PHO","TORPHO20121130","201211300TOR"
"Portland Trail Blazers","Boston Celtics",2012-11-30,78,96,2013,"BOS","POR","BOSPOR20121130","201211300BOS"
"Utah Jazz","Oklahoma City Thunder",2012-11-30,94,106,2013,"OKC","UTA","OKCUTA20121130","201211300OKC"
